code,system
C105y00,readv2
E13.3,readv2
E14.3,readv2
C10FE00,readv2
C108F11,readv2
C109E11,readv2
F464000,readv2
C109E12,readv2
C10FE11,readv2
C108F12,readv2
C10EF00,readv2
H28.0,readv2
F440700,readv2
C10E100,readv2
C109111,readv2
C10F111,readv2
C10F100,readv2
C108112,readv2
C10E111,readv2
C109112,readv2
E12.3,readv2
C10FQ00,readv2
C10EP00,readv2
C10EP11,readv2
C108700,readv2
C10E112,readv2
C109600,readv2
C108100,readv2
C108F00,readv2
C109100,readv2
C10E712,readv2
C10EF12,readv2
C109E00,readv2
E11.3,readv2
E10.3,readv2
C109612,readv2
F420z00,readv2
2BBo.00,readv2
C10E711,readv2
C10F611,readv2
C10E700,readv2
C108712,readv2
C108711,readv2
2BBr.00,readv2
F420.00,readv2
C10F600,readv2
C109611,readv2
H36.0,readv2
F420800,readv2
F420600,readv2
F420700,readv2
2BBk.00,readv2
2BBS.00,readv2
2BBV.00,readv2
2BBR.00,readv2
F420100,readv2
2BBT.00,readv2
F420200,readv2
2BBl.00,readv2
H35.2,readv2
F420300,readv2
F420500,readv2
2BBW.00,readv2
2BBP.00,readv2
F420000,readv2
2BBQ.00,readv2
C105000,readv2
C105.00,readv2
C105z00,readv2
C105100,readv2
2BBM.00,readv2
F420400,readv2
2BBL.00,readv2
2BBX.00,readv2
7276.00,readv2
H35.0,readv2
100770.0,readv2
10659.0,readv2
47649.0,readv2
13103.0,readv2
97894.0,readv2
52630.0,readv2
48192.0,readv2
44779.0,readv2
50429.0,readv2
9835.0,readv2
58604.0,readv2
100964.0,readv2
69748.0,readv2
13101.0,readv2
17545.0,readv2
2986.0,readv2
3286.0,readv2
98071.0,readv2
7069.0,readv2
47377.0,readv2
13099.0,readv2
13108.0,readv2
30477.0,readv2
18496.0,readv2
17313.0,readv2
102740.0,readv2
34283.0,readv2
44260.0,readv2
49554.0,readv2
101881.0,readv2
47321.0,readv2
42762.0,readv2
47584.0,readv2
41389.0,readv2
49655.0,readv2
93727.0,readv2
17262.0,readv2
18387.0,readv2
11433.0,readv2
10755.0,readv2
1323.0,readv2
3837.0,readv2
33254.0,readv2
25591.0,readv2
13097.0,readv2
41049.0,readv2
93875.0,readv2
38161.0,readv2
47144.0,readv2
10099.0,readv2
6509.0,readv2
11599.0,readv2
13102.0,readv2
11129.0,readv2
52041.0,readv2
11626.0,readv2
44982.0,readv2
47328.0,readv2
22871.0,readv2
99311.0,readv2
49276.0,readv2
95343.0,readv2
65463.0,readv2
110400.0,readv2
59725.0,readv2
70316.0,readv2
69278.0,readv2